Combat Search Experiment - CombatSearch
Could not make directory: ../bin/results

************************************************
* Running Experiment: CombatSearch [Integral]
************************************************
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga
    700       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr
    859       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ga
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ga Ze
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga
    700       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr
    859       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ga
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ga Cy
   1947     100.00         2100.00          7400.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ga Cy Ga
   1947     100.00         2100.00          7400.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ga Cy Ga Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga
    700       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr
    859       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ne
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ne Cy
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr Ga Pr Py Ze Pr Ze Pr Ch_Ne Cy Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    492       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As
    661       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py
    740       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ze
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ze Pr
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ze Pr Ga
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ze Pr Ga Pr
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr As Py Pr Ze Pr Ga Pr Ze
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr As Py Pr Ze Pr Ga Pr Ze Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    492       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As
    661       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py
    740       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr
   1012       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga
   1075       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze
   1352       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr
   1624       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga
   1689       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga Pr
   1689       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga Pr Ch_Ne
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga Pr Ch_Ne Ze
   1927     100.00          100.00          7400.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga Pr Ch_Ne Ze Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    492       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As
    661       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py
    740       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr
   1012       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga
   1075       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze
   1352       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr
   1624       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga
   1689       0.00            0.00             0.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga Pr
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga Pr Ze
   1961     100.00         3500.00          7400.00   Pr Ch_Ne Ga Pr As Py Pr Ga Pr Ze Pr Ga Pr Ze Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    534       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Py
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Py Pr
    907       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Py Pr Ga
    936       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Py Pr Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Py Pr Ga Pr Ze
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Py Pr Ga Pr Ze Pr
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Py Pr Ga Pr Ze Pr Ga
